ValuationDate,08/08/17
BONDPY
Pfolio ,BondInstrument                        ,Security ,SectorLevel0         ,Duration ,NominalValue   ,TotalCost         ,Ex? ,CurrentYTM ,MarketValue       ,Cat
SBNINC,R207 REPUBLIC OF SOUTH AFRICA 7.250% ,R207    ,1-3 years NominalGov,000.0000,00000038527,00000037384.82, ,0007.33,00000038646.38,FI00
**TOTAL 1-3 years NominalGov                                           ,,,,000.0000,00015038527,00014977665.32, ,       ,00015420000.38,
SBNINC,REPUBLIC OF NAMIBIA 8.26% 19/11/2022 ,NAM01   ,3-7 years NominalGov,000.0000,00005530000,00005004250.18, ,0010.00,00005243004.61,FI00
**TOTAL 3-7 years NominalGov                                           ,,,,000.0000,00005530000,00005004250.18, ,       ,00005243004.61,
SBNINC,INVESTEC 3M JIBAR+265 20/09/2022     ,IV015   ,0-1 year NominalCred,000.0000,00004000000,00004000000.00, ,0008.94,00004059417.82,FI02
SBNINC,INVESTEC BANK LTD FRN 3M JIBAR+375BPS,IV09    ,0-1 year NominalCred,000.0000,00008400000,00008400000.00, ,0010.09,00008466699.77,FI02
SBNINC,KAGISO FRN 3M JIBAR+330BPS 01/11/2017,KSB008  ,0-1 year NominalCred,000.0000,00005000000,00005000000.00, ,0010.42,00005011742.50,FI02
SBNINC,LIBERTY GROUP LGL02 7.67% 13/08/2017 ,LGL02   ,0-1 year NominalCred,000.0000,00006000000,00005999149.13,X,0007.35,00005995225.80,FI00
SBNINC,NEDBANK LTD 3M JIBAR+275 BPS 25/07/20,NED13   ,0-1 year NominalCred,000.0000,00005000000,00005000000.00, ,0009.08,00005055035.64,FI02
SBNINC,PRECINCT FUNDING 1 (RF) LIMITED 3MJ+1,PRE1A3  ,0-1 year NominalCred,000.0000,00002114363,00002114363.31, ,0008.28,00002122341.72,FI02
SBNINC,STD FIXED RATE 9.66% CALLABLE 01/12/2,SBK14   ,0-1 year NominalCred,000.0000,00005000000,00005000000.00, ,0008.05,00005113171.41,FI00
SBNINC,STD 3M JIBAR+210BPS 15/03/2018       ,SBK16   ,0-1 year NominalCred,000.0000,00007000000,00007000000.00, ,0009.05,00007114386.02,FI02
SBNINC,SBKN17 FRN 3M JB+120BSP 23/10/2017   ,SBKN17  ,0-1 year NominalCred,000.0000,00036000000,00036000000.00, ,0008.26,00036129839.42,FI02
SBNINC,STANDARD BANK NAMIBIA 3M JIBAR+165BPS,SBNA18  ,0-1 year NominalCred,000.0000,00040000000,00040000000.00, ,0008.71,00040369663.12,FI02
SBNINC,SAPPI SOUTHERN AFRICA 3MONTH JIBAR+15,SSA05   ,0-1 year NominalCred,000.0000,00005000000,00005000000.00, ,0008.41,00005041877.26,FI02
SBNINC,THEKWINI 3MONTH JIBAR+1.85% 18/07/201,TH11B3  ,0-1 year NominalCred,000.0000,00006000000,00006000000.00, ,0009.13,00006037142.42,FI02
SBNINC,VUKILE PROPERTY FUND FRN 3M JIBAR+150,VKE05   ,0-1 year NominalCred,000.0000,00004000000,00004000000.00, ,0008.35,00004052549.66,FI02
**TOTAL 0-1 year NominalCred                                           ,,,,000.0000,00133514363,00133513512.44, ,       ,00134569092.56,
SBNINC,ABSA BANK LIMITED 8.295% 21/11/2018  ,AB013   ,1-3 years NominalCre,000.0000,00003000000,00003000000.00, ,0009.08,00003025452.00,FI00
SBNINC,ABSA BANK LTD FRN 3M JIBAR+175BPS 17/,ABFN08  ,1-3 years NominalCre,000.0000,00005000000,00005000000.00, ,0008.51,00005127391.29,FI02
SBNINC,ABSA BANK LTD 9.26% 14/05/2020       ,ABS12   ,1-3 years NominalCre,000.0000,00005000000,00005000000.00, ,0008.91,00005150299.50,FI00
SBNINC,AMBER HOUSE FUND 2(RF)LIMITED 3M JIBA,AHF2A2  ,1-3 years NominalCre,000.0000,00005000000,00005000000.00, ,0008.99,00005030505.46,FI02
SBNINC,AMBER HOUSE FUND 2 CLASS B 3M JIBAR+1,AHF2B2  ,1-3 years NominalCre,000.0000,00010000000,00010000000.00, ,0009.29,00010062783.95,FI02
SBNINC,BANK  WINDHOEK LIMITED 3MJIBAR+180BPS,BWZJ18A ,1-3 years NominalCre,000.0000,00059000000,00059000000.00, ,0009.12,00060223786.37,FI02
SBNINC,FNB NAMIBIA 3MJIBAR + 180BPS 01/11/20,FNBJ19  ,1-3 years NominalCre,000.0000,00035000000,00035000000.00, ,0008.88,00035068236.19,FI02
SBNINC,FNB NAMIBIA 10.08% 01/11/2019        ,FNBX19  ,1-3 years NominalCre,000.0000,00025000000,00025000000.00, ,0009.04,00026190781.03,FI00
SBNINC,FOX STREET 2 (RF) LIMITED 3MJIBAR+125,FS2A5   ,1-3 years NominalCre,000.0000,00010000000,00010000000.00, ,0008.63,00010180893.64,FI02
SBNINC,INDUSTRIAL DEVELOPMENT CORPORATION 3M,IDCG05  ,1-3 years NominalCre,000.0000,00010000000,00010000000.00, ,0008.88,00010178597.76,FI02
SBNINC,INVESTEC BANK LTD FRN 3M JIBAR+245BPS,IV026   ,1-3 years NominalCre,000.0000,00003000000,00003000000.00, ,0010.36,00003001173.52,FI02
SBNINC,NEDBANK LTD 3M JIBAR+255BPS 29/11/201,NED14   ,1-3 years NominalCre,000.0000,00005000000,00005000000.00, ,0010.97,00005114106.51,FI02
SBNINC,NEDBANK FRN 3MJIBAR+255BPS 08/04/2019,NED16   ,1-3 years NominalCre,000.0000,00000500000,00000500000.00, ,0009.77,00000504940.12,FI02
SBNINC,NAMIBIAN WATER COPORATION LTD 9.05% 2,NWC20   ,1-3 years NominalCre,000.0000,00025000000,00025000000.00, ,0009.03,00025670758.13,FI00
SBNINC,TOP DRIVE FUNDING LIMITED 3MONTH JIBA,TPDA05  ,1-3 years NominalCre,000.0000,00010000000,00010000000.00, ,0008.41,00010100106.58,FI02
**TOTAL 1-3 years NominalCre                                           ,,,,000.0000,00210500000,00210500000.00, ,       ,00214629812.05,
SBNINC,STANDARD BANK ESKOM CLN 3MJ+293BPS 20,CLN372  ,3-7 years NominalCre,000.0000,00005000000,00005000000.00, ,0009.14,00005064920.43,FI02
SBNINC,FNB NAMIBIA 3M JIBAR+250BPS 29/03/202,FBNJ27  ,3-7 years NominalCre,000.0000,00106000000,00106000000.00, ,0009.83,00107196431.29,FI02
SBNINC,FIRSTRAND JBR+170BPS 27/10/2020      ,FRS49   ,3-7 years NominalCre,000.0000,00007000000,00007000000.00, ,0008.78,00007022758.90,FI02
SBNINC,IDCG03 INDUSTRIAL DEVELOPMENT CORP  8,IDCG03  ,3-7 years NominalCre,000.0000,00010000000,00009730794.00, ,0009.24,00010001272.00,FI00
SBNINC,INDUSTRIAL DEVELOPMENT CORPORATION 3M,IDCG07  ,3-7 years NominalCre,000.0000,00020000000,00020000000.00,X,0008.89,00019978294.96,FI02
SBNINC,OLD MUTUAL LIFE ASSURANCE COMPANY 3M ,OML08   ,3-7 years NominalCre,000.0000,00004000000,00004000000.00, ,0009.45,00004071053.71,FI02
SBNINC,STANDARD BANK NAMIBIA 3M JIBAR+205BPS,SBNA22  ,3-7 years NominalCre,000.0000,00021000000,00021000000.00, ,0009.11,00021605464.85,FI02
SBNINC,STANDARD BANK FRN 3M JIBAR+155BPS 12/,SBS40A  ,3-7 years NominalCre,000.0000,00020000000,00020000000.00,X,0008.63,00020126184.16,FI02
**TOTAL 3-7 years NominalCre                                           ,,,,000.0000,00193000000,00192730794.00, ,       ,00195066380.30,
SBNINC,STANLIB INCOME FUND (CLASS B1)       ,SIB1    ,Fixed Int Unit Trust,000.0000,00000890318,00001229110.83, ,       ,00001217029.01,OS03
SBNINC,STANLIB INCOME ABIL RETENTION FUND   ,STIAR   ,Fixed Int Unit Trust,000.0000,00000043298,00000060899.73, ,       ,00000066940.48,OS03
**TOTAL Fixed Int Unit Trust                                           ,,,,000.0000,00000933616,00001290010.56, ,       ,00001283969.49,
SBNINC,NAMIBIAN CURRENT ACT - Net Settlement,NAMBCURR,Current Account     ,        ,           ,              , ,       ,00054038101.01,ZL06
**TOTAL Current Account                                                ,,,,        ,           ,              , ,       ,00054038101.01,
SBNINC,FUT MKT VALUE CONTRA                 ,XXSFTR  ,Futures Contra Accou,        ,           ,              , ,       ,00000000000.00,ZL02
**TOTAL Futures Contra Accou                                           ,,,,        ,           ,              , ,       ,00000000000.00,
SBNINC,FNB NAM FRN 3M JIBAR +95.5BPS 28/08/2,FRLFM7HA,0-3 Months          ,000.0000,00015000000,00015000000.00, ,0007.22,00015253294.97,FI02
SBNINC,FNB NAM 3M JIBAR+1.075% =7.208% 18092,FRLFM7IA,0-3 Months          ,000.0000,00010000000,00010000000.00, ,0007.24,00010129345.28,FI02
**TOTAL 0-3 Months                                                     ,,,,000.0000,00025000000,00025000000.00, ,       ,00025382640.25,
SBNINC,BANK WINDHOEK FRN JB3M+167BPS 22/06/2,FRLBW0FD,12 Months +         ,000.0000,00050000000,00050000000.00, ,0008.92,00050703875.47,FI02
SBNINC,NEDNAM FRN 3M JIBAR + 97BPS=6.720% 10,FRLNB9DR,12 Months +         ,000.0000,00022800000,00022800000.00, ,0008.21,00022993074.06,FI02
SBNINC,STANDARD BANK NAMIBIA FRD 3M JIBAR+16,FRLSB0GB,12 Months +         ,000.0000,00033000000,00033000000.00, ,0008.87,00033332607.67,FI02
SBNINC,STDNAM FLOATING NCD 3MJIBAR +133BPS=7,FRLSB8HB,12 Months +         ,000.0000,00035000000,00035000000.00, ,0008.65,00035747757.31,FI02
SBNINC,STD FRN 3MJIBAR+1.058%=6.133% COMPOUN,FRLSC9CV,12 Months +         ,000.0000,00015000000,00015000000.00, ,0008.08,00015623504.10,FI02
**TOTAL 12 Months +                                                    ,,,,000.0000,00155800000,00155800000.00, ,       ,00158400818.61,
SBNINC,STANDARD BANK NAMIBIA MONEY MARKET FU,SBNMR   ,Money Market Unit Tr,000.0000,00046276364,00046276364.36, ,0040.00,00046359921.34,FI02
SBNINC,STANLIB INSTITUTIONAL MONEY MARKET FU,SIMMB4  ,Money Market Unit Tr,000.0000,00000000507,00000000507.09, ,0040.00,00000000508.12,FI02
**TOTAL Money Market Unit Tr                                           ,,,,000.0000,00046276871,00046276871.45, ,       ,00046360429.46,
TOTAL SB NAM INCOME                                                    ,,,,        ,00802631904,00802094361.84, ,       ,00867845937.59,
SBSWAZ,STANLIB INSTITUTIONAL PROPERTY FUND (,SIP3    ,Real Estate         ,000.0000,00000921981,00003544630.53, ,       ,00003610962.77,OS03
**TOTAL Real Estate                                                    ,,,,000.0000,00000921981,00003544630.53, ,       ,00003610962.77,
SBSWAZ,R203 REPUBLIC OF SOUTH AFRICA 8.250% ,R203    ,0-1 years NominalGov,000.0000,00000070147,00000071371.04, ,0006.95,00000072531.72,FI00
**TOTAL 0-1 years NominalGov                                           ,,,,000.0000,00000070147,00000071371.04, ,       ,00000072531.72,
SBSWAZ,SA NATIONAL ROADS AGENCY LTD 9.75% 31,HWAY20  ,1-3 years NominalGov,000.0000,00000030000,00000031926.14, ,0008.26,00000031229.58,FI00
SBSWAZ,R204 REPUBLIC OF SOUTH AFRICA 8.000% ,R204    ,1-3 years NominalGov,000.0000,00000421412,00000430290.70, ,0007.08,00000430843.75,FI00
SBSWAZ,R207 REPUBLIC OF SOUTH AFRICA 7.250% ,R207    ,1-3 years NominalGov,000.0000,00000156192,00000154725.39, ,0007.33,00000156675.96,FI00
**TOTAL 1-3 years NominalGov                                           ,,,,000.0000,00000607604,00000616942.23, ,       ,00000618749.29,
SBSWAZ,ESKOM 10.00% 25/01/2023              ,ES23    ,3-7 years NominalGov,000.0000,00000861000,00000937221.44, ,0008.93,00000903593.76,FI00
SBSWAZ,R2023 REPUBLIC OF SOUTH AFRICA 7.750%,R2023   ,3-7 years NominalGov,000.0000,00000710923,00000709607.64, ,0007.90,00000730393.76,FI00
SBSWAZ,R208 REPUBLIC OF SOUTH AFRICA 6.750% ,R208    ,3-7 years NominalGov,000.0000,00000093010,00000088940.30, ,0007.48,00000093113.67,FI00
SBSWAZ,TRANS CALEDON 9% 28/05/2021          ,WSP5    ,3-7 years NominalGov,000.0000,00000063000,00000064420.88, ,0008.23,00000065668.69,FI00
**TOTAL 3-7 years NominalGov                                           ,,,,000.0000,00001727933,00001800190.26, ,       ,00001792769.88,
SBSWAZ,ESKOM 7.85% 02/04/2026               ,ES26    ,7-12 years NominalGo,000.0000,00000219000,00000208489.51, ,0009.72,00000201421.51,FI00
SBSWAZ,R186 REPUBLIC OF SOUTH AFRICA 10.500%,R186    ,7-12 years NominalGo,000.0000,00000022904,00000025820.72, ,0008.56,00000026045.01,FI00
SBSWAZ,SA NATIONAL ROADS AGENCY LTD 9% 30/09,SZ25    ,7-12 years NominalGo,000.0000,00000001000,00000000964.23, ,0009.51,00000001003.53,FI00
**TOTAL 7-12 years NominalGo                                           ,,,,000.0000,00000242904,00000235274.46, ,       ,00000228470.05,
SBSWAZ,ESKOM 7.50% 15/09/2033               ,ES33    ,Over 12 years Nomina,000.0000,00000065266,00000052979.32, ,0010.77,00000051053.98,FI00
SBSWAZ,R2030 REPUBLIC OF SOUTH AFRICA 8.000%,R2030   ,Over 12 years Nomina,000.0000,00001110973,00001064037.64, ,0009.12,00001021894.30,FI00
SBSWAZ,R2032 REPUBLIC OF SOUTH AFRICA 8.250%,R2032   ,Over 12 years Nomina,000.0000,00002962313,00002959690.83, ,0009.35,00002793215.58,FI00
SBSWAZ,R2035 REPUBLIC OF SOUTH AFRICA 8.875%,R2035   ,Over 12 years Nomina,000.0000,00000305943,00000295279.63, ,0009.60,00000299330.87,FI00
SBSWAZ,R2037 REPUBLIC OF SOUTH AFRICA 8.500%,R2037   ,Over 12 years Nomina,000.0000,00002737799,00002634393.58, ,0009.69,00002460390.97,FI00
SBSWAZ,R2040 REPUBLIC OF SOUTH AFRICA 9.000%,R2040   ,Over 12 years Nomina,000.0000,00002967473,00002847895.87, ,0009.83,00002752300.64,FI00
SBSWAZ,R2044 REPUBLIC OF SOUTH AFRICA 8.750%,R2044   ,Over 12 years Nomina,000.0000,00008841069,00008166030.28, ,0009.86,00007942163.92,FI00
SBSWAZ,R2048 REPUBLIC OF SOUTH AFRICA 8.750%,R2048   ,Over 12 years Nomina,000.0000,00001768728,00001664919.65, ,0009.82,00001654226.21,FI00
SBSWAZ,R209 REPUBLIC OF SOUTH AFRICA 6.250% ,R209    ,Over 12 years Nomina,000.0000,00000364353,00000284548.08, ,0009.57,00000268291.66,FI00
SBSWAZ,R213 REPUBLIC OF SOUTH AFRICA 7.000% ,R213A   ,Over 12 years Nomina,000.0000,00003531000,00003117411.52, ,0009.22,00003039688.54,FI00
SBSWAZ,R214 REPUBLIC OF SOUTH AFRICA 7.000% ,R214    ,Over 12 years Nomina,000.0000,00000947000,00000714262.06, ,0009.75,00000691853.01,FI00
**TOTAL Over 12 years Nomina                                           ,,,,000.0000,00025601917,00023801448.46, ,       ,00022974409.68,
SBSWAZ,CITY OF JHB 9% 05/06/2018            ,COJ04   ,0-1 year NominalCred,000.0000,00000383374,00000360369.46, ,0008.09,00000392155.95,FI00
SBSWAZ,FIRSTRAND 10.50% 14/04/2018          ,FRX18   ,0-1 year NominalCred,000.0000,00000002000,00000002091.51, ,0007.67,00000002103.01,FI00
SBSWAZ,IMPERIAL GRP 280917                  ,IPL6    ,0-1 year NominalCred,000.0000,00000015000,00000015334.26, ,0007.90,00000015565.74,FI00
SBSWAZ,INVESTEC 13.735% 30/04/2018          ,IV08    ,0-1 year NominalCred,000.0000,00000002000,00000002138.19, ,0008.78,00000002143.13,FI00
SBSWAZ,STD 8.4% 100418                      ,SBK9    ,0-1 year NominalCred,000.0000,00000142026,00000136167.68, ,0008.43,00000145915.07,FI00
**TOTAL 0-1 year NominalCred                                           ,,,,000.0000,00000544400,00000516101.10, ,       ,00000557882.90,
SBSWAZ,AA05 ANGLO AMERICAN SA FINANCE LTD 9.,AA05    ,1-3 years NominalCre,000.0000,00000005000,00000004987.44, ,0008.60,00000005225.17,FI00
SBSWAZ,ABSA BANK LIMITED 8.295% 21/11/2018  ,AB013   ,1-3 years NominalCre,000.0000,00000026000,00000024980.17, ,0009.08,00000026220.58,FI00
SBSWAZ,ABSA 8.20% 01/06/2020                ,ABS6    ,1-3 years NominalCre,000.0000,00000497000,00000473142.92, ,0008.58,00000499949.05,FI00
SBSWAZ,AIRPORTS COMPANY OF SOUTH AFRICA 8.58,AIR01   ,1-3 years NominalCre,000.0000,00000020000,00000019523.62, ,0008.43,00000020726.72,FI00
SBSWAZ,BARLOW 9.8% 01/10/2018               ,BAW11   ,1-3 years NominalCre,000.0000,00000027000,00000027293.49, ,0008.58,00000028286.90,FI00
SBSWAZ,DEV BANK 9.45% 15/06/2020            ,DV22    ,1-3 years NominalCre,000.0000,00000059000,00000061076.80, ,0008.54,00000060215.03,FI00
SBSWAZ,FIRSTRAND 8.5% 21/12/2018            ,FRB05   ,1-3 years NominalCre,000.0000,00000093000,00000089369.55, ,0008.88,00000093595.57,FI00
SBSWAZ,FIRSTRAND 12% 21/12/2018 (STEP UP DAT,FRBC21  ,1-3 years NominalCre,000.0000,00000037000,00000038175.08, ,0009.89,00000038561.24,FI00
SBSWAZ,FIRSTRAND 9.00% 15/11/2019           ,FRX19   ,1-3 years NominalCre,000.0000,00000785000,00000826267.88, ,0007.90,00000818963.82,FI00
SBSWAZ,NBK3A NEDBANK LIMITED 11.39% 09/09/20,NBK3A   ,1-3 years NominalCre,000.0000,00000021000,00000022533.89, ,0008.15,00000023273.03,FI00
SBSWAZ,SA NATIONAL ROADS AGENCY LTD 12.25% 3,NRA018  ,1-3 years NominalCre,000.0000,00000008000,00000008737.58, ,0008.26,00000008574.30,FI00
SBSWAZ,OLD MUTUAL LIFE ASSURANCE COMPANY LTD,OML05   ,1-3 years NominalCre,000.0000,00000472808,00000472808.00, ,0009.71,00000491178.53,FI00
SBSWAZ,STD BANK LIMITED 8.87% 24/05/2019    ,SBS25   ,1-3 years NominalCre,000.0000,00000116000,00000115678.32, ,0007.95,00000119880.48,FI00
**TOTAL 1-3 years NominalCre                                           ,,,,000.0000,00002166808,00002184574.74, ,       ,00002234650.42,
SBSWAZ,ANGLO AMERICAN SA FINANCE LTD 9.49% 1,AA07    ,3-7 years NominalCre,000.0000,00000639554,00000639437.80, ,0009.58,00000656871.91,FI00
SBSWAZ,CITY OF JHB 10.78% 23/03/2021        ,COJ07   ,3-7 years NominalCre,000.0000,00000015000,00000015542.58, ,0009.49,00000016189.30,FI00
SBSWAZ,DEV BANK 10.00% 27/02/2023           ,DV23    ,3-7 years NominalCre,000.0000,00000275180,00000283897.69, ,0009.45,00000293964.28,FI00
SBSWAZ,FIRSTRAND JBR+170BPS 27/10/2020      ,FRS49   ,3-7 years NominalCre,000.0000,00000004469,00000004469.41, ,0008.78,00000004483.53,FI02
SBSWAZ,NEDBANK 8.92% 28/11/2020             ,NBK11A  ,3-7 years NominalCre,000.0000,00000729539,00000724566.00, ,0008.50,00000751061.06,FI00
SBSWAZ,SA NATIONAL ROADS AGENCY LTD 12.25% 3,NRA022  ,3-7 years NominalCre,000.0000,00000022000,00000025962.38, ,0009.18,00000025487.80,FI00
SBSWAZ,OLD MUTUAL LIFE ASSURANCE COMPANY LTD,OML06   ,3-7 years NominalCre,000.0000,00000945615,00000945615.00, ,0010.48,00000977892.15,FI00
SBSWAZ,OLD MUTUAL LIFE ASSURANCE COMPANY LTD,OML09   ,3-7 years NominalCre,000.0000,00000943179,00000943179.00, ,0010.47,00001000034.21,FI00
SBSWAZ,SBS19 STANDARD BANK OF SA 10.18% 23/0,SBS19   ,3-7 years NominalCre,000.0000,00000019000,00000019977.78, ,0008.36,00000020369.33,FI00
SBSWAZ,STANDARD BANK LTD 10.13% 20/02/2024  ,SBS27   ,3-7 years NominalCre,000.0000,00000194000,00000198246.10, ,0009.15,00000212411.67,FI00
SBSWAZ,TRANSNET LIMITED 10.5% 17/09/2020    ,TN20    ,3-7 years NominalCre,000.0000,00000892000,00000939718.15, ,0008.76,00000970188.08,FI00
**TOTAL 3-7 years NominalCre                                           ,,,,000.0000,00004679536,00004740611.89, ,       ,00004928953.32,
SBSWAZ,CITY OF CAPE TOWN 11.16% 15/03/2025  ,CCT03   ,7-12 years NominalCr,000.0000,00000531749,00000567138.53, ,0010.46,00000574525.28,FI00
SBSWAZ,CITY OF JOHANNESBURG METROPOLITAN 11.,COJ08   ,7-12 years NominalCr,000.0000,00000484678,00000484678.00, ,0010.56,00000516415.87,FI00
SBSWAZ,FIRSTRAND 10.75% 10/12/2024          ,FRX24   ,7-12 years NominalCr,000.0000,00000031000,00000032984.62, ,0009.20,00000034061.85,FI00
SBSWAZ,STD LIMITED 10.05% 15/05/2026        ,SBS20B  ,7-12 years NominalCr,000.0000,00000083000,00000083264.15, ,0009.67,00000086786.35,FI00
SBSWAZ,STANDARD BANK LTD 9.785% 12/06/2027  ,SBS31   ,7-12 years NominalCr,000.0000,00000105036,00000102139.01, ,0009.89,00000105954.29,FI00
SBSWAZ,TRANSNET LIMITED 9.5% 19/08/2025     ,TN25    ,7-12 years NominalCr,000.0000,00000028000,00000027867.31, ,0010.40,00000027904.88,FI00
**TOTAL 7-12 years NominalCr                                           ,,,,000.0000,00001263463,00001298071.62, ,       ,00001345648.52,
SBSWAZ,STANLIB INFLATION LINKED BOND FUND CL,SBLB1   ,Fixed Int Unit Trust,000.0000,00000660557,00000663346.80, ,       ,00000687986.35,OS03
SBSWAZ,STANLIB INCOME FUND (CLASS B1)       ,SIB1    ,Fixed Int Unit Trust,000.0000,00082353905,00112431836.69, ,       ,00112574494.04,OS03
SBSWAZ,STANLIB INCOME ABIL RETENTION FUND   ,STIAR   ,Fixed Int Unit Trust,000.0000,00001422480,00001994230.56, ,       ,00002199228.22,OS03
**TOTAL Fixed Int Unit Trust                                           ,,,,000.0000,00084436942,00115089414.05, ,       ,00115461708.61,
SBSWAZ,STANDARD BANK ZAR - Net Settlements  ,STDCUR01,Current Account     ,        ,           ,              , ,       ,00000951201.46,ZL06
**TOTAL Current Account                                                ,,,,        ,           ,              , ,       ,00000951201.46,
SBSWAZ,STANLIB INSTITUTIONAL MONEY MARKET FU,SIMMB4  ,Money Market Unit Tr,000.0000,00001083956,00001083956.34, ,0040.00,00001085814.18,FI02
**TOTAL Money Market Unit Tr                                           ,,,,000.0000,00001083956,00001083956.34, ,       ,00001085814.18,
TOTAL SB SWAZI LTD                                                     ,,,,        ,00123347591,00154982586.72, ,       ,00155863752.80,
SBWAZ2,STANLIB INSTITUTIONAL PROPERTY FUND (,SIP3    ,Real Estate         ,000.0000,00000265503,00001020748.66, ,       ,00001039850.39,OS03
**TOTAL Real Estate                                                    ,,,,000.0000,00000265503,00001020748.66, ,       ,00001039850.39,
SBWAZ2,R203 REPUBLIC OF SOUTH AFRICA 8.250% ,R203    ,0-1 years NominalGov,000.0000,00000026868,00000027269.42, ,0006.95,00000027781.40,FI00
**TOTAL 0-1 years NominalGov                                           ,,,,000.0000,00000026868,00000027269.42, ,       ,00000027781.40,
SBWAZ2,SA NATIONAL ROADS AGENCY LTD 9.75% 31,HWAY20  ,1-3 years NominalGov,000.0000,00000004000,00000004256.82, ,0008.26,00000004163.94,FI00
SBWAZ2,R204 REPUBLIC OF SOUTH AFRICA 8.000% ,R204    ,1-3 years NominalGov,000.0000,00000154907,00000157605.36, ,0007.08,00000158374.02,FI00
SBWAZ2,R207 REPUBLIC OF SOUTH AFRICA 7.250% ,R207    ,1-3 years NominalGov,000.0000,00000247681,00000247815.78, ,0007.33,00000248448.44,FI00
**TOTAL 1-3 years NominalGov                                           ,,,,000.0000,00000406588,00000409677.96, ,       ,00000410986.40,
SBWAZ2,ESKOM 10.00% 25/01/2023              ,ES23    ,3-7 years NominalGov,000.0000,00000133000,00000143051.17, ,0008.93,00000139579.52,FI00
SBWAZ2,R2023 REPUBLIC OF SOUTH AFRICA 7.750%,R2023   ,3-7 years NominalGov,000.0000,00000147752,00000145631.77, ,0007.90,00000151798.63,FI00
SBWAZ2,R208 REPUBLIC OF SOUTH AFRICA 6.750% ,R208    ,3-7 years NominalGov,000.0000,00000141441,00000137645.42, ,0007.48,00000141598.65,FI00
SBWAZ2,TRANS CALEDON 9% 28/05/2021          ,WSP5    ,3-7 years NominalGov,000.0000,00000010000,00000010225.54, ,0008.23,00000010423.60,FI00
**TOTAL 3-7 years NominalGov                                           ,,,,000.0000,00000432193,00000436553.90, ,       ,00000443400.40,
SBWAZ2,ESKOM 7.85% 02/04/2026               ,ES26    ,7-12 years NominalGo,000.0000,00000033000,00000030357.72, ,0009.72,00000030351.19,FI00
SBWAZ2,R186 REPUBLIC OF SOUTH AFRICA 10.500%,R186    ,7-12 years NominalGo,000.0000,00000185407,00000207659.84, ,0008.56,00000210833.38,FI00
**TOTAL 7-12 years NominalGo                                           ,,,,000.0000,00000218407,00000238017.56, ,       ,00000241184.57,
SBWAZ2,ESKOM 7.50% 15/09/2033               ,ES33    ,Over 12 years Nomina,000.0000,00000010146,00000008227.73, ,0010.77,00000007936.65,FI00
SBWAZ2,R2030 REPUBLIC OF SOUTH AFRICA 8.000%,R2030   ,Over 12 years Nomina,000.0000,00000808212,00000757801.43, ,0009.12,00000743408.92,FI00
SBWAZ2,R2032 REPUBLIC OF SOUTH AFRICA 8.250%,R2032   ,Over 12 years Nomina,000.0000,00000554689,00000554293.62, ,0009.35,00000523025.74,FI00
SBWAZ2,R2035 REPUBLIC OF SOUTH AFRICA 8.875%,R2035   ,Over 12 years Nomina,000.0000,00000106491,00000102779.35, ,0009.60,00000104189.48,FI00
SBWAZ2,R2037 REPUBLIC OF SOUTH AFRICA 8.500%,R2037   ,Over 12 years Nomina,000.0000,00000817544,00000791996.40, ,0009.69,00000734706.19,FI00
SBWAZ2,R2040 REPUBLIC OF SOUTH AFRICA 9.000%,R2040   ,Over 12 years Nomina,000.0000,00000536349,00000517924.27, ,0009.83,00000497458.17,FI00
SBWAZ2,R2044 REPUBLIC OF SOUTH AFRICA 8.750%,R2044   ,Over 12 years Nomina,000.0000,00001548822,00001457871.71, ,0009.86,00001391347.38,FI00
SBWAZ2,R2048 REPUBLIC OF SOUTH AFRICA 8.750%,R2048   ,Over 12 years Nomina,000.0000,00000415861,00000389864.68, ,0009.82,00000388939.49,FI00
SBWAZ2,R209 REPUBLIC OF SOUTH AFRICA 6.250% ,R209    ,Over 12 years Nomina,000.0000,00000643882,00000500266.73, ,0009.57,00000474123.09,FI00
SBWAZ2,R213 REPUBLIC OF SOUTH AFRICA 7.000% ,R213A   ,Over 12 years Nomina,000.0000,00000652000,00000577291.63, ,0009.22,00000561279.22,FI00
SBWAZ2,R214 REPUBLIC OF SOUTH AFRICA 7.000% ,R214    ,Over 12 years Nomina,000.0000,00000164000,00000123694.80, ,0009.75,00000119814.04,FI00
**TOTAL Over 12 years Nomina                                           ,,,,000.0000,00006257996,00005782012.35, ,       ,00005546228.37,
SBWAZ2,CITY OF JHB 9% 05/06/2018            ,COJ04   ,0-1 year NominalCred,000.0000,00000059594,00000059365.93, ,0008.09,00000060959.12,FI00
SBWAZ2,FIRSTRAND 10.50% 14/04/2018          ,FRX18   ,0-1 year NominalCred,000.0000,00000001000,00000001045.76, ,0007.67,00000001051.50,FI00
SBWAZ2,IMPERIAL GRP 280917                  ,IPL6    ,0-1 year NominalCred,000.0000,00000001000,00000001022.28, ,0007.90,00000001037.72,FI00
SBWAZ2,INVESTEC 13.735% 30/04/2018          ,IV08    ,0-1 year NominalCred,000.0000,00000001675,00000001790.74, ,0008.78,00000001794.87,FI00
SBWAZ2,STD 8.4% 100418                      ,SBK9    ,0-1 year NominalCred,000.0000,00000023277,00000022751.77, ,0008.43,00000023914.39,FI00
**TOTAL 0-1 year NominalCred                                           ,,,,000.0000,00000086546,00000085976.48, ,       ,00000088757.60,
